	Acetobacter	Bacillus	Escherichia-Shigella	Lactobacillus	Leuconostoc	Neisseria	Pediococcus	Prevotella 7	Providencia	Streptococcus	Weissella	Alternaria	Aspergillus	Candida	Cladosporium	Cyberlindnera	Diaporthe	Fusarium	Gibberella	Hyphopichia	Kazachstania	Kluyveromyces	Mycosphaerella	Nakaseomyces	Pichia	Wickerhamomyces
Asp	0.887053068367457	-0.213088545074654	-0.667330375582921	0.464730540500909	-0.847770780581444	0.197963918792485	-0.233354116565443	0.695433501856336	-0.690072198818974	-0.120237018860111	-0.926120632062801	-0.661493873189056	-0.50517841958726	0.643895444637861	0.299327777136557	0.273168089060021	-0.553832898522919	-0.629402621125111	-0.740169200829695	-0.0871989190832335	0.771225251214158	0.727178814489146	-0.487579991036065	0.19190881694792	0.677905691397499	0.916626583964889
Ser	0.356149803914573	-0.305235956960223	-0.433551898058644	0.610046689778016	-0.540789635597909	-0.145757705434249	0.12256897956971	0.230219810174054	-0.461935001041207	-0.194675951729286	-0.391171417434686	-0.642894829511707	-0.566408949473337	0.205685001724807	-0.0517063358174193	0.019876050741034	-0.495091034302424	-0.572610507314286	-0.484755104567509	-0.0708404157681569	0.336951309358226	0.153288472134374	-0.610853447333471	0.232004174041215	0.46636423163811	0.338159436245922
Glu	0.797488661681829	-0.0142503660339028	-0.422040552272724	0.264310302084712	-0.640180452048124	0.0122034568858056	-0.330602741088189	0.582578678955428	-0.461963307217442	-0.0711727416693632	-0.832985840034076	-0.422645794390509	-0.296994342004141	0.507798018321766	0.508579731981775	0.449309094431934	-0.25753355530429	-0.350993313277621	-0.511951785342803	0.180376719345256	0.542066596245321	0.519255278505005	-0.209765234562365	-0.0374613026576757	0.653806793635459	0.801052039546371
Gly	0.8839667365267	-0.0303698649064661	-0.510978921333272	0.393322869357564	-0.76822490484818	0.0323421705742324	-0.308923491346979	0.672063573642356	-0.539645340482404	-0.0169310960441506	-0.892462598901767	-0.539701549657702	-0.424871432709255	0.633653463524613	0.477313295678888	0.293310029690453	-0.41652015147664	-0.502120784110937	-0.655575576760226	0.0376853428079482	0.668102498609147	0.587892161114232	-0.420695792092947	0.112975717794194	0.713405317142459	0.835559379744224
Ala	0.924884238909131	-0.188830862330612	-0.658856631879474	0.516563423780998	-0.827215213920213	0.243907520625056	-0.295779255780611	0.666923003959489	-0.670204001212167	-0.172955791950728	-0.912780459854897	-0.729339232153833	-0.625000333502931	0.642562326345162	0.207751965727484	0.183206553953662	-0.646694559955099	-0.654959027174972	-0.819215313169957	-0.168631897151959	0.782025210680527	0.728778858400446	-0.579545763793627	0.223602604281955	0.787078789534201	0.918863171799669
Val	0.867791740369678	-0.0675078697192587	-0.517409218819312	0.466623526404595	-0.828550316691098	0.0437962900982418	-0.432347991995464	0.623513057465545	-0.517409218819312	-0.0824928275604519	-0.887557594329696	-0.662224467546587	-0.434124928724984	0.49193817589175	0.307620131623758	0.12352799771299	-0.566569822234302	-0.588643971152521	-0.749469913270978	0.00219980873494538	0.6611733175981	0.622515810621028	-0.556058322749435	0.0389730710541084	0.749510450985616	0.837147435119698
Met	0.851931531077126	-0.0898726012599608	-0.578067079947832	0.480482413592991	-0.838024927211913	0.123804737608092	-0.291906583167703	0.612914112261092	-0.578067079947832	-0.122373015230953	-0.819691953004602	-0.651723223963013	-0.511384780956295	0.553911581867422	0.240400502835012	0.101088271991928	-0.600691062869661	-0.615575443188555	-0.675112964464132	0.0211371571762555	0.666607604281907	0.729779275634587	-0.551785241821866	0.135302143073858	0.532232547721326	0.866931016860775
Ile	0.929330884336551	-0.122453128363632	-0.62415755416987	0.489267499278516	-0.85457335314172	0.177621398706218	-0.291164191550066	0.651755996528939	-0.62415755416987	-0.084232917578996	-0.88480727649809	-0.698712052407845	-0.52929542524269	0.620843540543115	0.261625913797959	0.0595818615913263	-0.637679975540895	-0.672405122723815	-0.777632841459936	-0.0748737045146631	0.759744129274795	0.792950774692767	-0.580857007423389	0.144460446985251	0.700062224418501	0.932799032696142
Leu	0.939498662548779	-0.120783704733995	-0.629069787381156	0.493789084455984	-0.864815905462041	0.210797902440659	-0.326681566086048	0.634930387533388	-0.640417156713849	-0.150255344257195	-0.921087904313189	-0.679752428834592	-0.534091194084323	0.628099508710383	0.252196416106996	0.187621169711582	-0.592975523025921	-0.623967275100447	-0.788223561095432	-0.0940447118732082	0.751033458606001	0.759834775661829	-0.544421778109164	0.157349980791005	0.749652852856062	0.920930355538251
Tyr	0.62438842162896	0.268553639530655	-0.23554860795339	-0.0970967121688071	-0.341475257599554	0.242672485527928	-0.174792069995641	0.592205357093858	-0.23554860795339	0.370656460046264	-0.427921233184577	-0.46224204563328	-0.284334454186794	0.494011258391581	0.646837331179436	0.307158880283602	-0.293865218014285	-0.379642092461698	-0.544841998804863	0.284225357255207	0.621088109424785	0.265822146429357	-0.211265264842702	-0.26900564518899	0.629531583575108	0.564194723756019
