	Acetobacter	Bacillus	Escherichia-Shigella	Lactobacillus	Leuconostoc	Neisseria	Pediococcus	Prevotella 7	Providencia	Streptococcus	Weissella	Alternaria	Aspergillus	Candida	Cladosporium	Cyberlindnera	Diaporthe	Fusarium	Gibberella	Hyphopichia	Kazachstania	Kluyveromyces	Mycosphaerella	Nakaseomyces	Pichia	Wickerhamomyces
Ethanol	0.610043594473431	-0.498497246272512	-0.663135694209321	0.82626857180323	-0.745368316049278	-0.0297678885143183	0.0407930324085102	0.228633941756569	-0.682973086771139	-0.506453199176894	-0.636938028119027	-0.86171310629515	-0.69453044375645	0.432404540763674	-0.272586510254553	-0.199555104484874	-0.79360165118679	-0.787409700722394	-0.713106295149639	-0.289401828101082	0.587203302373581	0.611169869756832	-0.756449948400413	0.482937951229172	0.559676453769593	0.551368168469436
X1.Butanol..3.methyl	0.311961071574231	-0.565633134906487	-0.559986887074916	0.565960329823805	-0.655323302830617	0.0176493395678651	0.115823790914115	0.317301171439152	-0.578416835257129	-0.374904074827069	-0.546970158693785	-0.592669154871641	-0.448115702463924	0.261228738993946	-0.243801652892562	-0.164359474725744	-0.631905091953736	-0.704181818157595	-0.49561183682646	-0.195555151422765	0.437790455863373	0.512157885306734	-0.557563316429767	0.396275697116119	0.13148986703237	0.537706611570248
X1.Hexanol	0.142864910158735	-0.614057971544776	-0.444924376029331	0.673217572270217	-0.332187769199914	-0.20617019082139	0.428878097484067	-0.270427242937878	-0.512938293384133	-0.704067134036961	-0.263489021404288	-0.442724458204334	-0.432404540763674	0.104231166150671	-0.590604105551531	-0.34288197510937	-0.430340557275542	-0.442724458204334	-0.238390092879257	-0.421144451341127	0.151702786377709	0.369183829954635	-0.401444788441692	0.590487302252371	0.166543398186498	0.2116675553113
Acetic.acid	0.542338699001222	-0.445035223743571	-0.546657754827724	0.506735751295337	-0.631640138622545	-0.0408774901229585	-0.127051658490276	0.378150228331731	-0.526779291015807	-0.114701889788156	-0.696469083076333	-0.470528410726495	-0.224405857423405	0.302999613940359	0.12105550016341	-0.283932836800009	-0.443641072970696	-0.499484005232741	-0.635988950762186	-0.274851698171618	0.487074464730064	0.616580310880829	-0.431231532468019	0.164766839378238	0.542670502422007	0.560787017851009
Benzaldehyde	0.172063577928404	-0.389734210722145	-0.396747851236346	0.14167558740556	-0.144378429722931	0.179709845475329	0.611895486127653	0.184382211094008	-0.473263508260499	-0.111225329456759	-0.217845253916931	-0.407636738906089	-0.469556243550052	0.362229102167183	-0.0227155425212127	-0.124584126004369	-0.366357069143447	-0.455108359133127	-0.411764705882353	-0.332596130802736	0.473684210526316	0.207859803419836	-0.234262125902993	0.410548964963557	0.287768864893677	0.357253532379073
Linalool	0.25131710473179	0.196000053648056	-0.0141695661155838	-0.311272640942143	-0.0316928260367409	0.100328809437147	-0.0804835504276012	0.338034053672347	-0.011335652892467	0.181416071346947	-0.173238844781559	-0.275541795665635	-0.0835913312693498	0.232198142414861	0.45740842440442	-0.0628433201968941	-0.281733746130031	-0.294117647058824	-0.391124871001032	0.13606205351021	0.463364293085655	0.0651500876390532	-0.100103199174407	-0.189245492665821	0.384069469287231	0.291171954135545
Butanoic.acid	0.83529046012516	-0.0974335526805364	-0.579535254127377	0.513961802485864	-0.616249395158852	0.0628433201968941	-0.124584126004369	0.378598140113029	-0.619210039251012	-0.302360118911578	-0.718889337925872	-0.632610939112487	-0.628482972136223	0.642930856553148	0.154878699008269	0.23263053616745	-0.48813209494324	-0.504643962848297	-0.630546955624355	-0.186815359184654	0.647058823529412	0.524303086238095	-0.490196078431373	0.319545667943928	0.812323921766797	0.653588109814894
Hexanoic.acid	0.652092540916035	0.205169533903956	-0.294879170915399	0.1541646967893	-0.537881850710435	0.311069609883622	-0.426893400797737	0.630912794373197	-0.248095456299014	0.30359667154584	-0.510643867319435	-0.388229272180727	-0.309757398016537	0.509034657407176	0.368801652892562	0.177596479401642	-0.371708877619845	-0.425400159942711	-0.536912823228665	0.0540207600615373	0.545173020509106	0.419038269796418	-0.41300986402205	-0.0796690043810475	0.516891201437592	0.56146694214876
Benzaldehyde..2.4.dimethyl.	0.26188036443188	-0.443211534566005	-0.457913327911893	0.243145662721379	-0.325312822372905	-0.0849374466703508	0.100380618792233	0.243510201337023	-0.506114730849988	-0.343572033991377	-0.521022807712106	-0.333505465197805	-0.204439882690915	0.361383631019294	0.119834710743802	0.252606172565069	-0.223025326571907	-0.346928285778522	-0.32834284189753	-0.121006502537844	0.388229272180727	0.234868363564906	-0.136293255127276	0.288670808081977	0.30492046751472	0.293388429752066
X2.4.Di.tert.butylphenol	-0.800247966212158	0.0708458335303716	0.582669900222255	-0.38489441077597	0.66354420447903	-0.282389433085841	-0.040814097750688	-0.431677175097451	0.60818829001301	0.00648249120738448	0.611838536147981	0.559628365749877	0.467733671004971	-0.636035190593957	-0.180785123966942	-0.119133042083089	0.454310850424255	0.575116235650704	0.574083710990649	-0.00432166080492298	-0.689726472916823	-0.720125026613104	0.384099173540506	-0.157268683972977	-0.549763668195684	-0.764462809917355
