	Acetobacter	Bacillus	Escherichia-Shigella	Lactobacillus	Leuconostoc	Neisseria	Pediococcus	Prevotella 7	Providencia	Streptococcus	Weissella	Alternaria	Aspergillus	Candida	Cladosporium	Cyberlindnera	Diaporthe	Fusarium	Gibberella	Hyphopichia	Kazachstania	Kluyveromyces	Mycosphaerella	Nakaseomyces	Pichia	Wickerhamomyces
Acetobacter	1	-0.00801377065806109	-0.588473832779493	0.465011023228408	-0.793509449118001	0.132574503720978	-0.333107366492205	0.593723772880934	-0.60565555052488	-0.152764799401265	-0.893094027302021	-0.632985404863885	-0.539132544175665	0.689297121276817	0.287964066068521	0.137030789560338	-0.564159973692524	-0.570416831071738	-0.726838265552105	-0.0851118168092763	0.764379409827393	0.745062605756977	-0.512019495532401	0.207948749713378	0.785349524489987	0.89832268436593
Bacillus	-0.00801377065806109	1	0.64867397029619	-0.656199896234142	0.394323348654304	-0.202131780549754	-0.422419110250684	-0.124150779627467	0.664229700998736	0.422036816339268	0.298945472034663	0.427121504192584	0.371607038130418	-0.179005829343311	0.512357068091648	0.0786740463217606	0.411260228174822	0.49396545312458	0.313826675494286	0.492573868508331	-0.295699502902558	-0.422329344981143	0.304763089198422	-0.611923432647409	0.0509950248756219	-0.172297067145864
Escherichia-Shigella	-0.588473832779493	0.64867397029619	1	-0.712784916684461	0.79939091482558	-0.267940190458216	-0.14532349312988	-0.364553976496955	0.988326848249027	0.474456918065	0.709313914921055	0.671637433878672	0.651800041316854	-0.487433074376082	0.236753949725344	-0.0348170868957003	0.626294822308804	0.71698004544854	0.678722216936464	0.388461601665719	-0.663135694209321	-0.685807001511145	0.605040473135428	-0.469983680124615	-0.44800504423334	-0.623782861551805
Lactobacillus	0.465011023228408	-0.656199896234142	-0.712784916684461	1	-0.779846204668058	-0.0254103316980553	0.0740214010334654	0.121944210439223	-0.724144038862699	-0.59731550153832	-0.582123412720517	-0.652535004765755	-0.642193721013524	0.32368218144482	-0.511123222912175	-0.162405163461484	-0.635988950762186	-0.652535004765755	-0.524303086238095	-0.470710585451394	0.369183829954635	0.595854922279793	-0.729060504532262	0.641450777202073	0.342858769312649	0.421107594585537
Leuconostoc	-0.793509449118001	0.394323348654304	0.79939091482558	-0.779846204668058	1	-0.224469984723729	0.156752782628303	-0.52849458171229	0.79939091482558	0.336541029261824	0.86959548345207	0.743020699305815	0.658506496541173	-0.592773227724229	0.0974764052597513	-0.0413827346138719	0.721892148614655	0.775887333714288	0.804058734635835	0.311975990629574	-0.707806448153881	-0.775141250190422	0.757106399766589	-0.438737005039496	-0.564423616701259	-0.783334485641615
Neisseria	0.132574503720978	-0.202131780549754	-0.267940190458216	-0.0254103316980553	-0.224469984723729	1	0.229681978798587	0.517406672219773	-0.267940190458216	0.252649611273282	-0.0997422959012922	-0.285551226859572	-0.437698212599421	0.552359709099017	-0.123545376975056	0.168433451118964	-0.393597637022653	-0.351702090224723	-0.477388730618512	-0.433772848578786	0.545744622762502	0.381154975470829	-0.199555104484874	0.414298886381336	-0.1137747746807	0.290111019146783
Pediococcus	-0.333107366492205	-0.422419110250684	-0.14532349312988	0.0740214010334654	0.156752782628303	0.229681978798587	1	-0.225872963507109	-0.217985239694819	0.0126901631233156	0.344665044725576	0.0121276582836111	-0.203965162042551	0.122379097225531	-0.289007935423791	-0.229681978798587	-0.00771760072593437	-0.17750481669649	0.0804835504276013	-0.264186123203569	0.0143326870624495	0.0452966782443594	0.0429980611873486	0.440814015109742	-0.374004312514216	-0.122442293252064
Prevotella 7	0.593723772880934	-0.124150779627467	-0.364553976496955	0.121944210439223	-0.52849458171229	0.517406672219773	-0.225872963507109	1	-0.364553976496955	0.394228930355085	-0.640662206721217	-0.539625271135129	-0.478164534103793	0.758425494966685	0.44274582061277	0.315171576986664	-0.532249982691369	-0.551917418541396	-0.688360254750962	-0.0617389515727376	0.807594084591753	0.426188856686576	-0.362618348484882	0.261133056698133	0.352210363943139	0.65550978440724
Providencia	-0.60565555052488	0.664229700998736	0.988326848249027	-0.724144038862699	0.79939091482558	-0.267940190458216	-0.217985239694819	-0.364553976496955	1	0.489283696754532	0.723557166224691	0.677305260324905	0.677305260324905	-0.541277425615301	0.228247819795092	-0.0772031057252485	0.617793082639453	0.72548178511789	0.670220477267113	0.391426957403625	-0.682973086771139	-0.702845684778502	0.579535254127377	-0.532458852104926	-0.44800504423334	-0.654972004629396
Streptococcus	-0.152764799401265	0.422036816339268	0.474456918065	-0.59731550153832	0.336541029261824	0.252649611273282	0.0126901631233156	0.394228930355085	0.489283696754532	1	0.278966583970066	0.238648522426639	0.285082397830917	0.126343335402338	0.606112927890449	0.00807555835120081	0.228929804318767	0.161978635131203	0.0475137329718195	0.285310734463277	0.0550727359446089	-0.278097978071283	0.272124107020421	-0.327874269866143	-0.144037846025902	-0.116684841732921
Weissella	-0.893094027302021	0.298945472034663	0.709313914921055	-0.582123412720517	0.86959548345207	-0.0997422959012922	0.344665044725576	-0.640662206721217	0.723557166224691	0.278966583970066	1	0.66079727021469	0.516604459288722	-0.626564444599173	-0.175404092636147	-0.206134078196004	0.585070110519757	0.623452369543217	0.745860655077492	0.167162855764164	-0.738599146613594	-0.725575253712359	0.532164834568503	-0.29418022464269	-0.718038552829923	-0.868717310866599
Alternaria	-0.632985404863885	0.427121504192584	0.671637433878672	-0.652535004765755	0.743020699305815	-0.285551226859572	0.0121276582836111	-0.539625271135129	0.677305260324905	0.238648522426639	0.66079727021469	1	0.824561403508772	-0.628482972136223	0.176561716869426	0.0385880036296718	0.936016511867905	0.927760577915377	0.869969040247678	0.275363679723045	-0.791537667698658	-0.576009504999248	0.8328173374613	-0.462255383724711	-0.564208246917524	-0.637067715254012
Aspergillus	-0.539132544175665	0.371607038130418	0.651800041316854	-0.642193721013524	0.658506496541173	-0.437698212599421	-0.203965162042551	-0.478164534103793	0.677305260324905	0.285082397830917	0.516604459288722	0.824561403508772	1	-0.706914344685243	0.293237003455655	0.0253578309566415	0.859649122807018	0.82249742002064	0.756449948400413	0.449220748097202	-0.69453044375645	-0.526371342988541	0.818369453044376	-0.710446193778247	-0.361410503547571	-0.5844089575912
Candida	0.689297121276817	-0.179005829343311	-0.487433074376082	0.32368218144482	-0.592773227724229	0.552359709099017	0.122379097225531	0.758425494966685	-0.541277425615301	0.126343335402338	-0.626564444599173	-0.628482972136223	-0.706914344685243	1	0.225090375892017	0.261295910292349	-0.609907120743034	-0.675954592363261	-0.706914344685243	-0.197613934860067	0.857585139318885	0.623579410259509	-0.450980392156863	0.58014601850014	0.358011658686622	0.691791522236933
Cladosporium	0.287964066068521	0.512357068091648	0.236753949725344	-0.511123222912175	0.0974764052597513	-0.123545376975056	-0.289007935423791	0.44274582061277	0.228247819795092	0.606112927890449	-0.175404092636147	0.176561716869426	0.293237003455655	0.225090375892017	1	0.391594721662007	0.310789922676592	0.178626766189536	-0.00516262330027562	0.640686214329833	0.183789389489812	-0.128298136925323	0.367578778979624	-0.525608496436001	0.286217167462701	0.203512396694215
Cyberlindnera	0.137030789560338	0.0786740463217606	-0.0348170868957003	-0.162405163461484	-0.0413827346138719	0.168433451118964	-0.229681978798587	0.315171576986664	-0.0772031057252485	0.00807555835120081	-0.206134078196004	0.0385880036296718	0.0253578309566415	0.261295910292349	0.391594721662007	1	0.243655680061642	0.148839442571591	0.0782785216487629	0.384165847278553	0.124584126004369	-0.138099628793779	0.320831687320986	-0.104955717883272	0.0496251676798797	0.0518449349806037
Diaporthe	-0.564159973692524	0.411260228174822	0.626294822308804	-0.635988950762186	0.721892148614655	-0.393597637022653	-0.00771760072593437	-0.532249982691369	0.617793082639453	0.228929804318767	0.585070110519757	0.936016511867905	0.859649122807018	-0.609907120743034	0.310789922676592	0.243655680061642	1	0.923632610939113	0.87203302373581	0.451380463232285	-0.766769865841073	-0.619442896758617	0.896800825593395	-0.58014601850014	-0.421456762757669	-0.623644894673295
Fusarium	-0.570416831071738	0.49396545312458	0.71698004544854	-0.652535004765755	0.775887333714288	-0.351702090224723	-0.17750481669649	-0.551917418541396	0.72548178511789	0.161978635131203	0.623452369543217	0.927760577915377	0.82249742002064	-0.675954592363261	0.178626766189536	0.148839442571591	0.923632610939113	1	0.874097007223942	0.321797555127323	-0.805985552115583	-0.625647667009955	0.847265221878225	-0.540849140241664	-0.454312263080175	-0.652555585154839
Gibberella	-0.726838265552105	0.313826675494286	0.678722216936464	-0.524303086238095	0.804058734635835	-0.477388730618512	0.0804835504276013	-0.688360254750962	0.670220477267113	0.0475137329718195	0.745860655077492	0.869969040247678	0.756449948400413	-0.706914344685243	-0.00516262330027562	0.0782785216487629	0.87203302373581	0.874097007223942	1	0.382269578909638	-0.890608875128999	-0.658739775017093	0.79360165118679	-0.410548964963557	-0.658242954737112	-0.74961290320002
Hyphopichia	-0.0851118168092763	0.492573868508331	0.388461601665719	-0.470710585451394	0.311975990629574	-0.433772848578786	-0.264186123203569	-0.0617389515727376	0.391426957403625	0.285310734463277	0.167162855764164	0.275363679723045	0.449220748097202	-0.197613934860067	0.640686214329833	0.384165847278553	0.451380463232285	0.321797555127323	0.382269578909638	1	-0.254846385939759	-0.420934293656534	0.489175478096232	-0.702278551627481	-0.0580893370804049	-0.198796397026457
Kazachstania	0.764379409827393	-0.295699502902558	-0.663135694209321	0.369183829954635	-0.707806448153881	0.545744622762502	0.0143326870624495	0.807594084591753	-0.682973086771139	0.0550727359446089	-0.738599146613594	-0.791537667698658	-0.69453044375645	0.857585139318885	0.183789389489812	0.124584126004369	-0.766769865841073	-0.805985552115583	-0.890608875128999	-0.254846385939759	1	0.679422342521555	-0.56656346749226	0.449845843222034	0.561942350343559	0.792978938922336
Kluyveromyces	0.745062605756977	-0.422329344981143	-0.685807001511145	0.595854922279793	-0.775141250190422	0.381154975470829	0.0452966782443594	0.426188856686576	-0.702845684778502	-0.278097978071283	-0.725575253712359	-0.576009504999248	-0.526371342988541	0.623579410259509	-0.128298136925323	-0.138099628793779	-0.619442896758617	-0.625647667009955	-0.658739775017093	-0.420934293656534	0.679422342521555	1	-0.487074464730064	0.481865284974093	0.370105823827561	0.832903227620042
Mycosphaerella	-0.512019495532401	0.304763089198422	0.605040473135428	-0.729060504532262	0.757106399766589	-0.199555104484874	0.0429980611873486	-0.362618348484882	0.579535254127377	0.272124107020421	0.532164834568503	0.8328173374613	0.818369453044376	-0.450980392156863	0.367578778979624	0.320831687320986	0.896800825593395	0.847265221878225	0.79360165118679	0.489175478096232	-0.56656346749226	-0.487074464730064	1	-0.507757032234526	-0.473572383958886	-0.503872034106901
Nakaseomyces	0.207948749713378	-0.611923432647409	-0.469983680124615	0.641450777202073	-0.438737005039496	0.414298886381336	0.440814015109742	0.261133056698133	-0.532458852104926	-0.327874269866143	-0.29418022464269	-0.462255383724711	-0.710446193778247	0.58014601850014	-0.525608496436001	-0.104955717883272	-0.58014601850014	-0.540849140241664	-0.410548964963557	-0.702278551627481	0.449845843222034	0.481865284974093	-0.507757032234526	1	-0.0669823423491599	0.294878782449332
Pichia	0.785349524489987	0.0509950248756219	-0.44800504423334	0.342858769312649	-0.564423616701259	-0.1137747746807	-0.374004312514216	0.352210363943139	-0.44800504423334	-0.144037846025902	-0.718038552829923	-0.564208246917524	-0.361410503547571	0.358011658686622	0.286217167462701	0.0496251676798797	-0.421456762757669	-0.454312263080175	-0.658242954737112	-0.0580893370804049	0.561942350343559	0.370105823827561	-0.473572383958886	-0.0669823423491599	1	0.627977468413214
Wickerhamomyces	0.89832268436593	-0.172297067145864	-0.623782861551805	0.421107594585537	-0.783334485641615	0.290111019146783	-0.122442293252064	0.65550978440724	-0.654972004629396	-0.116684841732921	-0.868717310866599	-0.637067715254012	-0.5844089575912	0.691791522236933	0.203512396694215	0.0518449349806037	-0.623644894673295	-0.652555585154839	-0.74961290320002	-0.198796397026457	0.792978938922336	0.832903227620042	-0.503872034106901	0.294878782449332	0.627977468413214	1
