,Ethanol,X1.Butanol..3.methyl,X1.Hexanol,Acetic.acid,Benzaldehyde,Linalool,Butanoic.acid,Hexanoic.acid,Benzaldehyde..2.4.dimethyl.,X2.4.Di.tert.butylphenol,.alpha..Terpineol,Phenylethyl.Alcohol,Eugenol,X1.Octanol
1,0.40844547,0.081565638,0.088317969,0.065497263,0.065583645,0.317724889,0.10871229,0.14526635,0.269492676,0.733089821,0.107340613,0.13936082,0.165220332,0.089275993
2,0.583734213,0,0.145044514,0.09506198,0.119827516,0.327621033,0.173952243,0.184267191,0.396016824,0.474170996,0.185840044,0,0.118673327,0.113949041
3,0.250897329,0,0.195273294,0.124036601,0.096680507,0.445608342,0.227743069,0.252061482,0,0.673662439,0.248054575,0.027992702,0.154495297,0.142173977
4,0.471358022,0.167097456,0.128520654,0.401600041,0.15629187,0.258781876,0.14524052,0.067246855,0.51830518,0.338419366,0.175463708,0.111065487,0.132020131,0.106618245
5,0.552535307,0.21873597,0.150474873,0,0.182528121,0.31462455,0.167345434,0.08753851,0.47305297,0.364933824,0.201493121,0.133247603,0.15737621,0.127147687
6,0.560739584,0.189614104,0.156682732,0,0.185699154,0.310333771,0.17505657,0.066950995,0.492170249,0.342260836,0.206193344,0.120838772,0.164123077,0.125385592
7,0.590205852,0.06991023,0.152391322,0.406112479,0.161465435,0.283709931,0.173404844,0.157925571,0.370257549,0.251861688,0.165330783,0.186614186,0.12350668,0.138235411
8,0.565141925,0.286964237,0.137384803,0.406761498,0.141310202,0.265260191,0.150098356,0.189449772,0.351344578,0.249339362,0.161666206,0.148058692,0.121641583,0.129295065
9,0.532007421,0.293499825,0.138610153,0.375065112,0.133705951,0.253394192,0.137534122,0.109852227,0.467040555,0.240011438,0.157839709,0.165142243,0.121724989,0.123026918
10,0.572912235,0.054427937,0.137832847,0.409939732,0.117347442,0.243627046,0.193888892,0.16254465,0.439187761,0.246787135,0.18648798,0.1609409,0.132202192,0.112585649
11,0.566968531,0.266331606,0.139128801,0.410881085,0.127665305,0.233246155,0.1606157,0.171839101,0.368076671,0.251140543,0.181522731,0.169959043,0.135369988,0.121211272
12,0.609659015,0.303112557,0.153218564,0.44339823,0.129300685,0.248938393,0.164282801,0.144781915,0.057448809,0.253212489,0.210542906,0.193840353,0.146653987,0.137456874
13,0.532286586,0.302916613,0.119206155,0.431038053,0.137737589,0.170210007,0.093273964,0.058227186,0.451265278,0.230304335,0.165168323,0.236668759,0.138029205,0.076484657
14,0.512287321,0.237380212,0.115705886,0.407145623,0.110364827,0.240974387,0.150292989,0.160049634,0.458315242,0.248068218,0.197338722,0.188475485,0.144368261,0.12924988
15,0.509479038,0.251374948,0.128708127,0.416928343,0.121874883,0.259064867,0.144917083,0.15094006,0.430478825,0.21434117,0.213403345,0.206079791,0.157915592,0.129974642
16,0.576240559,0.258648316,0.121206463,0,0.13818199,0.304743213,0.171923375,0.288542115,0.421615171,0.233211951,0.196216034,0.229116371,0.14608294,0.130757553
17,0.496755606,0.23799904,0.115814397,0.39844569,0.118149508,0.271931617,0.14578179,0.206034876,0.456734197,0.198549712,0.189470819,0.229545633,0.149258073,0.117953783
18,0.503084735,0.065821719,0.11480124,0.436626601,0.151202926,0.267799854,0.354712215,0.192565131,0.317499984,0.190403104,0.193092188,0.266263398,0.145603079,0.121775764
