Sample,Inoculate,time,Moisture,pH,Acidity,Reducing_sugar,,,
1_1,LAB,0,43.55,4.31,3.25,6.22,,,
1_2,LAB,0,44.98,4.27,2.75,7.3,,,
1_3,LAB,0,46.53,4.26,3,4.05,,,
1_4,LAB,3,44.76,3.86,3.75,1.2,,,
1_5,LAB,3,45.03,3.87,4,0.35,,,
1_6,LAB,3,45.32,3.88,5,0.26,,,
1_7,LAB,10,44.36,3.87,5,3.2,,,
1_8,LAB,10,42.09,3.87,5.5,3.18,,,
1_9,LAB,10,44.64,3.88,4.75,3.08,,,
1_10,LAB,30,44.68,3.86,7.75,2.37,,,
1_11,LAB,30,44.78,3.87,6.75,1.41,,,
1_12,LAB,30,45.02,3.89,6.5,1.17,,,
1_13,LAB,45,44.95,3.91,5,2.86,,,
1_14,LAB,45,46.32,3.93,5.25,2.59,,,
1_15,LAB,45,46,3.9,5,2.1,,,
2_1,WESS,0,45.38,4.22,3,4.88,,,
2_2,WESS,0,44.52,4.23,2.5,7.25,,,
2_3,WESS,0,45.58,4.22,3.25,2.76,,,
2_4,WESS,3,44.02,3.86,4.25,1.12,,,
2_5,WESS,3,45.82,3.87,4,1.03,,,
2_6,WESS,3,44.99,3.88,3.5,1.21,,,
2_7,WESS,10,45.53,3.92,6.25,1.7,,,
2_8,WESS,10,43.18,3.91,6.5,2.67,,,
2_9,WESS,10,43.1,3.92,6.75,2.69,,,
2_10,WESS,30,43.85,3.86,7.25,1.67,,,
2_11,WESS,30,44.23,3.88,8,1.01,,,
2_12,WESS,30,45.57,3.91,7.5,1.03,,,
2_13,WESS,45,45.39,3.93,5,1.37,,,
2_14,WESS,45,44.99,3.94,4.75,1.29,,,
2_15,WESS,45,45.65,3.94,5,1.37,,,
3_1,Pichi,0,47.1,4.27,2.5,2.51,,,
3_2,Pichi,0,44.88,4.26,2.75,2.78,,,
3_3,Pichi,0,47.33,4.25,2.75,2.38,,,
3_4,Pichi,3,43.78,3.87,4.5,1.11,,,
3_5,Pichi,3,45.5,3.87,4.25,1.13,,,
3_6,Pichi,3,48.89,3.87,4,0.9,,,
3_7,Pichi,10,43.72,3.92,5.75,2.47,,,
3_8,Pichi,10,43.51,3.93,6,1.75,,,
3_9,Pichi,10,43.8,3.89,6.25,2.28,,,
3_10,Pichi,30,43.6,3.87,7.5,0.77,,,
3_11,Pichi,30,44.96,3.89,7.25,0.87,,,
3_12,Pichi,30,43.57,3.89,7.75,1.21,,,
3_13,Pichi,45,45.72,3.98,4.75,1,,,
3_14,Pichi,45,45.84,3.96,5.25,1.51,,,
3_15,Pichi,45,44.86,3.96,5,0.95,,,
4_1,Sac,0,45.95,4.36,1.75,3.92,,,
4_2,Sac,0,44.82,4.34,2.5,2.25,,,
4_3,Sac,0,38.94,4.32,2,3.51,,, 
4_4,Sac,3,45.11,3.86,4.5,0.15,,,
4_5,Sac,3,45.24,3.87,4,0.26,,,
4_6,Sac,3,45.43,3.88,4,1.15,,,
4_7,Sac,10,43.56,3.87,5.75,2.44,,,
4_8,Sac,10,46.23,3.86,6,2.8,,,
4_9,Sac,10,44.04,3.86,6.25,2.63,,,
4_10,Sac,30,43.46,3.89,6,1.07,,,
4_11,Sac,30,44.87,3.91,5.75,0.87,,,
4_12,Sac,30,44.29,3.91,8,0.96,,,
4_13,Sac,45,46.01,3.97,4.75,2.09,,,
4_14,Sac,45,45.18,3.97,5,2.18,,,
4_15,Sac,45,44.8,3.96,5,1.41,,,
5_1,Canda,0,45.36,4.28,3,6.51,,,
5_2,Canda,0,45.35,4.29,3,7.59,,,
5_3,Canda,0,44.37,4.25,2.5,7.23,,,
5_4,Canda,3,43.74,3.86,4,1.09,,,
5_5,Canda,3,44.88,3.87,4.25,1.46,,,
5_6,Canda,3,45.77,3.89,4,0.8,,,
5_7,Canda,10,44.73,3.85,6.5,2.73,,,
5_8,Canda,10,44.01,3.86,6.5,2.92,,,
5_9,Canda,10,43.16,3.86,6,2.83,,,
5_10,Canda,30,43.28,3.89,8.25,0.84,,,
5_11,Canda,30,44.55,3.9,8,0.94,,,
5_12,Canda,30,44.29,3.9,6,1.17,,,
5_13,Canda,45,45.5,3.95,5,1.85,,,
5_14,Canda,45,44.71,3.95,5.25,1.21,,,
5_15,Canda,45,46.64,3.95,5,1.65,,,
6_1,CK,0,45.11,4.21,3,5.34,,,
6_2,CK,0,44.7,4.22,3.25,5.57,,,
6_3,CK,0,45.71,4.22,3.25,3.89,,,
6_4,CK,3,44.92,3.88,5,0.89,,,
6_5,CK,3,44.47,3.89,4,0.25,,,
6_6,CK,3,44.95,3.9,3.75,0.97,,,
6_7,CK,10,41.97,3.86,6,2.35,,,
6_8,CK,10,43.44,3.87,6,2.69,,,
6_9,CK,10,44.19,3.87,5.5,2.45,,,
6_10,CK,30,44.76,3.86,6,1.68,,,
6_11,CK,30,45.55,3.87,8,1.02,,,
6_12,CK,30,44.21,3.87,8.75,1.05,,,
6_13,CK,45,45.34,4.04,5,1.84,,,
6_14,CK,45,46.02,4,5,1.59,,,
6_15,CK,45,45.28,3.94,5,1.84,,,
