,Sample,lac_mean,lac_sd,ace_mean,ace_sd,eth_mean,eth_sd,glu_mean,glu_sd,Inoculate,time,Lactic_acid,Acetic_acid,Ethanol,Glucose,sig_lac,sig_ace,sig_eth,sig_glu
1,1_1,3.642206629,0.096805653,0.559985214,0.085125331,4.515235118,1.435190827,3.842408428,0.265232148,Lpscw,0,3.654671913,0.524840588,6.172292165,3.550106851,d,b,a,a
2,1_6,4.775417365,0.070824144,0.490878847,0.045709525,4.776085957,0.130446785,2.422107801,0.094175893,Lpscw,3,4.839668369,0.534017189,4.926347588,2.516332693,c,b,a,b
3,1_7,5.035010325,0.070796169,0.586119582,0.048522811,4.644391672,0.300762331,2.284822535,0.016475771,Lpscw,10,4.96284866,0.616578874,4.443922541,2.271024839,c,b,a,b
4,1_12,6.951855923,0.161980951,1.326550226,0.258999514,5.259896279,0.127527313,2.320609824,0.078984185,Lpscw,30,6.925884299,1.440532298,5.203425937,2.24054912,a,a,a,b
5,1_13,5.682074991,0.239986767,1.394704741,0.04,4.18976526,0.047826043,2.454235319,0.04567769,Lpscw,45,5.404962142,0.970584974,4.134540502,2.401491266,b,a,a,b
6,2_3,3.4325022,0.486982351,0.535227798,0.216463026,3.609334893,1.144284972,1.998400334,0.36928665,CK,0,2.914768279,0.355142778,2.370130437,1.980065349,c,b,a,a
7,2_4,4.763493156,0.429971987,0.408298679,0.054076774,4.958627995,0.417165586,2.635210708,0.379796955,CK,3,4.754294872,0.392736346,4.645986485,2.777002292,bc,b,a,a
8,2_9,6.416074737,1.278803749,0.711801128,0.269230449,4.870808523,0.984806086,2.109850409,0.177584142,CK,10,4.971909962,0.576157472,4.167647418,1.905749814,ab,b,a,a
9,2_10,6.950225848,0.770310819,1.20788282,0.278477054,5.225520497,0.451612156,1.097368992,0.721120646,CK,30,6.335913373,0.906293319,4.883601949,1.927197411,a,ab,a,b
10,2_15,5.811912565,0.320548668,1.51619074,0.04414893,4.485608852,0.257778199,2.166651697,0.098541181,CK,45,6.179652136,1.558857777,4.78068414,2.066304819,ab,a,a,a
