Sample,Inoculate,time,Moisture,pH,Acidity,Reducing_sugar
1_1,Lpscw,0,45.70121951,4.31,6,11.81
1_2,Lpscw,0,45.76410256,4.27,6,13.05
1_3,Lpscw,0,44.44557477,4.26,6,12.48
1_4,Lpscw,3,47.34052993,3.86,6.5,1.2
1_5,Lpscw,3,45.42192047,3.87,7.25,4.33
1_6,Lpscw,3,45.92670157,3.88,6.25,3.28
1_7,Lpscw,10,44.25711275,4,7,1.52
1_8,Lpscw,10,43.83301708,3.93,8,2.98
1_9,Lpscw,10,44.11463664,4.02,7.75,1.39
1_10,Lpscw,30,43.87855044,3.98,7,1.55
1_11,Lpscw,30,44.65468307,3.95,7.75,1.87
1_12,Lpscw,30,43.74319913,3.93,8.5,1.97
1_13,Lpscw,45,43.73814042,4,9,0.55
1_14,Lpscw,45,44.52405322,4.1,8,0.58
1_15,Lpscw,45,43.38883448,4.01,8.75,0.49
2_1,CK,0,43.1504065,4.22,4.75,16.66
2_2,CK,0,45.55014606,4.23,5.75,16.4
2_3,CK,0,44.92227979,4.22,5.5,15.32
2_4,CK,3,45.50813008,3.86,7,12.39
2_5,CK,3,45.12768131,3.87,6,12.49
2_6,CK,3,44.08099688,3.88,5.25,12.35
2_7,CK,10,43.02702703,3.83,7.25,1.66
2_8,CK,10,43.82139148,3.82,8.25,3.39
2_9,CK,10,43.22916667,3.83,8.25,3.71
2_10,CK,30,44.1084463,3.83,9,2.65
2_11,CK,30,43.93442623,3.81,8.75,2.37
2_12,CK,30,43.86503067,3.82,9.5,2.68
2_13,CK,45,43.06569343,3.82,9.25,1.33
2_14,CK,45,43.93442623,3.83,8.75,1.17
2_15,CK,45,42.84253579,3.82,9.5,1.35
