Sample,Inoculate,time,Lactic_acid,Acetic_acid,Ethanol,Glucose
1_1,Lpscw,0,3.654671913,0.524840588,6.172292165,3.550106851
1_2,Lpscw,0,3.732175843,0.498059329,3.666852922,3.909388937
1_3,Lpscw,0,3.539772132,0.657055725,3.706560268,4.067729497
1_4,Lpscw,3,4.69947502,0.495647352,4.691875186,2.327980984
1_5,Lpscw,3,4.787108705,0.442971999,4.710035098,2.422009725
1_6,Lpscw,3,4.839668369,0.534017189,4.926347588,2.516332693
1_7,Lpscw,10,4.96284866,0.616578874,4.443922541,2.271024839
1_8,Lpscw,10,5.104357028,0.530163571,4.499030889,2.303064606
1_9,Lpscw,10,5.037825287,0.611616302,4.990221586,2.280378159
1_10,Lpscw,30,6.80442997,1.509010258,5.170353944,2.398471568
1_11,Lpscw,30,7.125253501,1.030108123,5.405908956,2.322808783
1_12,Lpscw,30,6.925884299,1.440532298,5.203425937,2.24054912
1_13,Lpscw,45,5.404962142,0.970584974,4.134540502,2.401491266
1_14,Lpscw,45,5.820631415,1.606764624,4.217377639,2.480607346
1_15,Lpscw,45,5.820631415,1.606764624,4.217377639,2.480607346
2_1,CK,0,3.881409947,0.775381203,4.626010582,1.638622708
2_2,CK,0,3.501328375,0.475159412,3.831863661,2.376512946
2_3,CK,0,2.914768279,0.355142778,2.370130437,1.980065349
2_4,CK,3,4.754294872,0.392736346,4.645986485,2.777002292
2_5,CK,3,5.197990487,0.468450236,5.432310674,2.204916687
2_6,CK,3,4.338194109,0.363709454,4.797586827,2.923713144
2_7,CK,10,7.404859406,1.021874134,5.996350556,2.1947736
2_8,CK,10,6.871454842,0.537371777,4.448427596,2.229027812
2_9,CK,10,4.971909962,0.576157472,4.167647418,1.905749814
2_10,CK,30,6.335913373,0.906293319,4.883601949,1.927197411
2_11,CK,30,6.700296907,1.455281397,5.0554925,0.742066712
2_12,CK,30,7.814467263,1.262073745,5.737467042,0.622842852
2_13,CK,45,5.664472914,1.519018575,4.304195987,2.170368248
2_14,CK,45,5.591612645,1.470695869,4.371946428,2.263282024
2_15,CK,45,6.179652136,1.558857777,4.78068414,2.066304819
