genus	CK0d1	CK0d2	CK0d3	CK3d1	CK3d2	CK3d3	CK10d1	CK10d2	CK10d3	CK30d1	CK30d2	CK30d3	CK45d1	CK45d2	CK45d3	Lp0d1	Lp0d2	Lp0d3	Lp3d1	Lp3d2	Lp3d3	Lp10d1	Lp10d2	Lp10d3	Lp30d1	Lp30d2	Lp30d3	Lp45d1	Lp45d2	Lp45d3
g_Bradyrhizobium	0.007075	0.006926	0.007129	0.007402	0.007339	0.007277	0.007	0.007085	0.007304	0.00621	0.006477	0.004232	0.006881	0.002205	0.006779	0.00704	0.006911	0.006189	0.00694	0.007177	0.007155	0.007045	0.007139	0.005817	0.005926	0.006511	0.003728	0.002695	0.001246	0.00479
g_Algibacter	0.005024	0.005382	0.003682	0.002401	0.002755	0.003156	0.003933	0.004758	0.003402	0.008509	0.006363	0.017622	0.006058	0.030067	0.005277	0.005169	0.004632	0.009264	0.004487	0.003376	0.004414	0.004117	0.003883	0.012003	0.009845	0.007296	0.020636	0.005643	0.003122	0.005289
g_Companilactobacillus	1.2e-05	1.3e-05	4e-06	9e-06	9.5e-05	2e-06	8e-06	1.4e-05	8e-06	2.4e-05	3.4e-05	4.5e-05	2.4e-05	5.7e-05	5.9e-05	1.8e-05	0.000112	7e-06	1.6e-05	2e-06	7e-06	5.2e-05	5.6e-05	2.9e-05	0.001411	0.000133	0.000405	0.017545	0.176911	0.020158
g_Serratia	0.009157	0.008878	0.009155	0.009161	0.008775	0.008986	0.008534	0.008677	0.009033	0.007872	0.007911	0.007292	0.008236	0.006397	0.007834	0.008941	0.00899	0.008789	0.008506	0.008809	0.008676	0.00892	0.008799	0.007424	0.007754	0.008114	0.007209	0.00356	0.001829	0.006141
g_Mycobacterium	0.00948	0.00949	0.009754	0.009653	0.009815	0.009897	0.010042	0.009213	0.009857	0.00827	0.008193	0.005872	0.009968	0.003182	0.00903	0.009496	0.009602	0.008985	0.009172	0.009283	0.009883	0.008848	0.009942	0.006551	0.007201	0.008069	0.00538	0.002989	0.001417	0.005393
g_Pediococcus	4.5e-05	4.8e-05	4.6e-05	0.000103	0.000208	9.6e-05	0.000441	0.000301	0.000293	0.000449	0.000488	0.000428	0.000431	0.000193	0.000697	0.000264	0.000329	0.000117	0.000242	0.000219	0.000177	0.000714	5e-04	0.000449	0.002031	0.001087	0.000929	0.019829	0.241162	0.048165
g_Klebsiella	0.010621	0.011225	0.010014	0.009353	0.009467	0.010081	0.010168	0.010982	0.00963	0.01245	0.010697	0.018375	0.011022	0.026034	0.010324	0.011198	0.010795	0.013354	0.010647	0.009942	0.010904	0.010429	0.009984	0.015187	0.013149	0.012203	0.019703	0.006787	0.003719	0.008745
g_Clostridioides	0.016066	0.015848	0.016754	0.016717	0.016751	0.016791	0.016797	0.01587	0.017219	0.014181	0.014621	0.009149	0.01739	0.003556	0.0153	0.016165	0.016469	0.014867	0.015915	0.016458	0.016585	0.015425	0.01668	0.011404	0.012119	0.013709	0.008289	0.005178	0.002279	0.009569
g_Paenibacillus	0.022077	0.020448	0.021081	0.018104	0.018088	0.018725	0.016476	0.01616	0.012798	0.011351	0.012063	0.008113	0.007431	0.002945	0.009953	0.019676	0.018438	0.018842	0.021963	0.020581	0.017595	0.019722	0.015138	0.018629	0.009976	0.009558	0.005879	0.005998	0.001874	0.006144
g_Levilactobacillus	0.000573	0.000597	0.000544	0.004147	0.003585	0.003953	0.023511	0.017286	0.018342	0.03792	0.03814	0.027877	0.030398	0.010131	0.040041	0.000701	0.000798	0.000705	0.003889	0.003687	0.00235	0.014527	0.012729	0.014701	0.031759	0.025102	0.020597	0.032871	0.004862	0.027619
g_Lentilactobacillus	3.5e-05	4e-05	3.8e-05	0.000146	0.000124	8.1e-05	0.000437	0.000371	3e-04	0.000857	0.000753	0.000651	0.003389	0.002013	0.010083	0.000106	9.4e-05	4.5e-05	8.9e-05	8.5e-05	6.4e-05	0.000304	0.000275	0.00027	0.004038	0.001989	0.003921	0.408681	0.082869	0.129357
g_Lacticaseibacillus	0.025106	0.024972	0.026058	0.028525	0.028021	0.027793	0.02688	0.025728	0.027534	0.021713	0.023407	0.014607	0.022903	0.003953	0.023179	0.024411	0.024856	0.021329	0.026752	0.027629	0.026493	0.026776	0.026517	0.021223	0.021994	0.024514	0.012665	0.018677	0.044958	0.027982
g_Robertmurraya	0.031617	0.031145	0.032598	0.033591	0.033508	0.032936	0.030836	0.029502	0.032345	0.024873	0.026917	0.016673	0.02742	0.005819	0.026989	0.031217	0.031517	0.027798	0.031135	0.032742	0.031866	0.03135	0.031652	0.0227	0.023757	0.026913	0.015109	0.010765	0.005011	0.019896
g_Bacillus	0.029807	0.027575	0.027102	0.022237	0.022342	0.023463	0.027466	0.026864	0.022232	0.031461	0.02865	0.037426	0.023139	0.04291	0.027548	0.027126	0.024447	0.028903	0.029257	0.026019	0.024236	0.029092	0.025144	0.036794	0.031377	0.027231	0.036369	0.023315	0.008621	0.021019
g_Puteibacter	0.036555	0.036505	0.037657	0.040155	0.039763	0.039319	0.036856	0.035977	0.038304	0.030444	0.032914	0.020012	0.032996	0.005906	0.033276	0.03626	0.035999	0.031699	0.037325	0.039537	0.037303	0.037161	0.037989	0.02769	0.029462	0.032764	0.017774	0.013241	0.005865	0.024968
g_Enterobacter	0.042722	0.041868	0.043913	0.046061	0.045509	0.045224	0.043762	0.043325	0.042875	0.037509	0.040606	0.027268	0.04006	0.012888	0.041679	0.042414	0.041695	0.036962	0.044641	0.045295	0.043833	0.044047	0.043347	0.035309	0.036219	0.038855	0.024466	0.018731	0.007569	0.029961
Others	0.050651	0.0520459999999999	0.0477719999999999	0.0453600000000001	0.048938	0.0476800000000001	0.055766	0.053997	0.051214	0.069596	0.066115	0.0951690000000001	0.068916	0.125539	0.071246	0.054253	0.065358	0.0634020000000001	0.053708	0.0472820000000001	0.049835	0.053988	0.051845	0.072468	0.073975	0.0676479999999999	0.096	0.07866	0.246666	0.093808
g_Corynebacterium	0.051156	0.056108	0.038103	0.02614	0.027533	0.032799	0.03819	0.04841	0.034617	0.086759	0.064326	0.180487	0.059253	0.313691	0.055203	0.053966	0.047436	0.093551	0.046554	0.034611	0.044928	0.041446	0.040081	0.119849	0.100156	0.075971	0.205523	0.054372	0.03082	0.052441
