Sampleid,Site,Time,Repeat
CK0d1,CK,0d,1
CK0d2,CK,0d,2
CK0d3,CK,0d,3
CK3d1,CK,3d,1
CK3d2,CK,3d,2
CK3d3,CK,3d,3
CK10d1,CK,10d,1
CK10d2,CK,10d,2
CK10d3,CK,10d,3
CK30d1,CK,30d,1
CK30d2,CK,30d,2
CK30d3,CK,30d,3
CK45d1,CK,45d,1
CK45d2,CK,45d,2
CK45d3,CK,45d,3
Lp0d1,Lpscw,0d,1
Lp0d2,Lpscw,0d,2
Lp0d3,Lpscw,0d,3
Lp3d1,Lpscw,3d,1
Lp3d2,Lpscw,3d,2
Lp3d3,Lpscw,3d,3
Lp10d1,Lpscw,10d,1
Lp10d2,Lpscw,10d,2
Lp10d3,Lpscw,10d,3
Lp30d1,Lpscw,30d,1
Lp30d2,Lpscw,30d,2
Lp30d3,Lpscw,30d,3
Lp45d1,Lpscw,45d,1
Lp45d2,Lpscw,45d,2
Lp45d3,Lpscw,45d,3
