genus	CK0d1	CK0d2	CK0d3	CK3d1	CK3d2	CK3d3	CK10d1	CK10d2	CK10d3	CK30d1	CK30d2	CK30d3	CK45d1	CK45d2	CK45d3	Lp0d1	Lp0d2	Lp0d3	Lp3d1	Lp3d2	Lp3d3	Lp10d1	Lp10d2	Lp10d3	Lp30d1	Lp30d2	Lp30d3	Lp45d1	Lp45d2	Lp45d3
g_Ficus	0.005236	0.005882	0.005128	0.00939	0	0	0.004854	0.015957	0.01005	0.001479	0	0	0	0	0	0.003135	0	0.001887	0.001242	0.001921	0	0.001032	0.001086	0	0	0.001225	0	0	0	0
g_Neocallimastix	0	0.005882	0	0	0	0.007463	0	0	0	0	0	0.01084	0.001033	0.02583	0.000894	0	0.001515	0.003145	0	0.000961	0.003795	0.001032	0	0	0	0.002451	0.004762	0	0.000198	0.00152
g_Symbiodinium	0	0.011765	0	0.004695	0.011173	0.014925	0	0.015957	0.005025	0.001479	0	0	0	0	0	0	0.001515	0.000629	0.001242	0.000961	0.001898	0.001032	0	0	0.002494	0	0	0	0	0
g_Choiromyces	0.010471	0	0.020513	0.00939	0.005587	0	0.009709	0	0	0	0.001458	0.00271	0	0.01476	0.000894	0.001567	0.001515	0	0	0	0	0	0	0	0.001247	0.001225	0	0	9.9e-05	0
g_Hortaea	0.010471	0	0.010256	0.014085	0.011173	0.007463	0.004854	0.005319	0	0.001479	0.002915	0.00271	0	0	0	0.001567	0.004545	0.000629	0	0	0.001898	0.002064	0	0	0	0.001225	0	0	0	0
g_Trichoderma	0.005236	0.005882	0	0.032864	0.005587	0.007463	0	0	0	0	0	0.00271	0	0.00369	0	0	0	0.001887	0.006211	0.000961	0	0	0	0	0.001247	0.004902	0	0	0	0.004559
g_Colletotrichum	0.020942	0.011765	0.005128	0.004695	0.01676	0.007463	0.004854	0	0	0	0	0.00542	0.002066	0	0	0	0.004545	0.000629	0.001242	0	0	0.002064	0	0.004405	0.002494	0.001225	0	0	0.003274	0.00152
g_Ogataea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007837	0.010606	0	0.002484	0.002882	0.009488	0.003096	0.0076	0.006608	0.016209	0.017157	0.009524	0.015896	0.000496	0.004559
g_Templar	0	0	0	0	0	0	0	0	0	0	0	0	0.001033	0	0.001789	0	0	0	0	0	0	0	0	0	0	0.001225	0	0.053468	0.00635	0.053191
g_Plasmodium	0.020942	0.005882	0.030769	0.00939	0.005587	0	0.009709	0.005319	0.005025	0.001479	0.004373	0.00813	0	0	0.003578	0.004702	0.001515	0.010063	0.001242	0.001921	0	0.001032	0	0.002203	0	0.003676	0.002381	0.004335	9.9e-05	0
g_Microglena	0.010471	0	0.005128	0	0	0.029851	0	0.005319	0.01005	0.002959	0.002915	0.01084	0.002066	0.04059	0.000894	0.001567	0.001515	0.001887	0.002484	0	0.001898	0	0	0.002203	0.001247	0.002451	0.004762	0.00289	9.9e-05	0.00304
g_Phyllosticta	0.052356	0.017647	0.051282	0	0	0.014925	0.014563	0.005319	0.005025	0.007396	0.004373	0.00813	0.008264	0.01107	0.015206	0.00627	0.001515	0.006289	0.01118	0.006724	0.005693	0.003096	0.004343	0	0.008728	0.009804	0.004762	0.00289	0.000496	0.006079
g_Fusarium	0.031414	0.052941	0.025641	0.032864	0.022346	0.044776	0.024272	0.031915	0.020101	0.019231	0.004373	0.00271	0.004132	0	0.008945	0.007837	0.010606	0.003774	0.006211	0.003842	0	0.008256	0.004343	0.008811	0.003741	0.001225	0.014286	0.00289	0.000198	0.00152
Others	0.099477	0.052941	0.066667	0.0469460000000001	0.027933	0.067163	0.019418	0.0478730000000001	0.035176	0.02219	0.014578	0.0298120000000001	0.00929899999999995	0.059043	0.015207	0.0250790000000001	0.0166689999999999	0.018868	0.018637	0.0124880000000001	0.0113850000000001	0.013415	0.01303	0.0264300000000001	0.014961	0.030641	0.040475	0.0361279999999999	0.010816	0.036474
g_Tripsacum	0.08377	0.058824	0.071795	0.107981	0.094972	0.119403	0.053398	0.053191	0.085427	0.014793	0.01895	0.01897	0.007231	0.00738	0.007156	0.018809	0.025758	0.010692	0.019876	0.020173	0.026565	0.011352	0.016287	0.015419	0.011222	0.007353	0.002381	0.004335	0.000496	0.007599
g_Candida	0	0	0	0	0	0	0.004854	0	0	0	0.001458	0	0.001033	0	0.000894	0.045455	0.069697	0.005031	0.058385	0.035543	0.157495	0.039216	0.099891	0.066079	0.185786	0.147059	0.116667	0.114162	0.004862	0.066869
