"","CK0d1","CK0d2","CK0d3","CK3d1","CK3d2","CK3d3","CK10d1","CK10d2","CK10d3","CK30d1","CK30d2","CK30d3","CK45d1","CK45d2","CK45d3","Lp0d1","Lp0d2","Lp0d3","Lp3d1","Lp3d2","Lp3d3","Lp10d1","Lp10d2","Lp10d3","Lp30d1","Lp30d2","Lp30d3","Lp45d1","Lp45d2","Lp45d3","taxonomy"
"1",809,737,834,1138,881,757,1810,1406,1381,2305,2266,1750,2344,1063,3105,3837,4007,2867,4423,5653,4203,5056,5992,3255,6302,5990,3135,5833,56430,4382,"Unclassified_d_Eukaryota"
"2",18,15,23,41,40,22,29,34,41,36,21,26,22,11,26,285,282,134,403,628,228,526,531,224,360,285,181,306,6943,301,"Pichia kudriavzevii"
"3",12,7,10,15,26,11,19,11,14,12,13,8,9,0,3,108,120,47,145,207,97,152,162,72,112,93,61,90,2763,103,"Unclassified_g_Pichia"
"4",1,2,0,2,0,0,55,22,36,468,486,216,719,170,761,50,57,20,49,30,27,112,27,48,69,162,48,77,24,68,"Saccharomyces cerevisiae"
"5",6,3,2,8,13,4,6,8,11,33,30,23,39,13,65,65,65,36,84,125,51,108,123,42,92,77,50,74,1715,83,"Unclassified_o_Saccharomycetales"
"6",25,22,16,29,20,21,25,21,24,68,51,22,75,22,67,86,88,210,77,117,85,101,113,60,134,110,54,110,1100,80,"Unclassified_p_Ascomycota"
"7",6,1,2,4,4,5,12,5,10,3,7,2,4,0,11,54,58,31,60,123,69,71,75,40,64,43,24,36,1449,60,"Unclassified_f_Pichiaceae"
"8",21,23,36,13,18,10,17,9,11,11,24,8,28,4,85,47,29,1023,27,11,11,16,20,15,18,13,10,15,14,13,"Alternaria alternata"
"9",0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,29,45,8,45,35,81,37,91,30,145,118,48,78,48,44,"Candida glabrata"
"10",58,39,39,56,46,30,19,26,25,18,30,9,24,3,25,45,41,39,22,46,35,32,38,13,10,22,10,10,11,8,"Unclassified_f_Poaceae"
"11",1,0,0,0,0,0,6,11,7,56,61,44,107,27,104,5,5,6,6,7,2,19,5,6,5,22,8,5,4,15,"Unclassified_g_Saccharomyces"
"12",25,31,22,27,16,17,23,23,27,12,8,5,9,6,17,22,21,21,20,20,19,11,12,9,6,15,5,7,3,8,"Unclassified_g_Zea"
"13",21,28,20,33,22,16,10,23,10,11,12,11,11,2,11,15,17,27,20,20,14,18,6,2,11,6,3,4,9,4,"Zea mays"
"14",0,0,0,0,0,0,4,7,0,27,23,15,34,7,46,14,10,1,8,8,11,11,16,10,30,25,7,18,12,17,"Unclassified_f_Saccharomycetaceae"
