"","CK0d1","CK0d2","CK0d3","CK3d1","CK3d2","CK3d3","CK10d1","CK10d2","CK10d3","CK30d1","CK30d2","CK30d3","CK45d1","CK45d2","CK45d3","Lp0d1","Lp0d2","Lp0d3","Lp3d1","Lp3d2","Lp3d3","Lp10d1","Lp10d2","Lp10d3","Lp30d1","Lp30d2","Lp30d3","Lp45d1","Lp45d2","Lp45d3","taxonomy"
"1",165416,187711,158600,129531,121442,113615,102731,127842,95773,159734,125557,305211,128702,651213,126950,201907,174714,304685,136882,112045,131429,116246,103620,227174,175062,186489,400065,110801,180888,91804,"Unclassified_d_Bacteria"
"2",162043,174520,190106,193911,176417,145521,114681,124236,117287,97916,97102,103663,106236,140836,107699,189572,177206,187303,139757,139600,138725,124284,117490,110226,96003,127896,122635,50754,72575,63654,"Escherichia coli"
"3",103613,109095,125895,136260,123437,99527,75916,80132,79128,54708,59226,37784,66151,17153,67857,120843,113650,103580,90048,93727,90766,81392,77857,54786,50729,74924,39033,25276,33480,37539,"Acinetobacter baumannii"
"4",100356,107073,123368,129890,118097,95798,73091,78213,76134,53725,57422,38297,66656,19716,67418,117697,111130,101189,86846,89833,88407,78568,75797,51769,49593,72983,39898,24717,33327,36655,"Unclassified_c_Gammaproteobacteria"
"5",91993,97040,112284,116562,105260,85438,66726,70982,69981,47587,50905,31638,59205,12560,59419,107897,102416,92131,78327,80817,80510,71134,68756,45820,43884,65122,32845,21561,29690,32541,"Salmonella sp. hn-f5"
"6",35407,37381,43241,45312,41333,33502,25397,27452,26735,19043,20188,13599,23615,7613,23807,41864,39214,35548,30262,31473,30862,27668,26253,18338,17636,25717,14415,8820,12024,12956,"Unclassified_f_Enterobacteriaceae"
"7",24112,25695,28950,31664,28549,23238,17797,18525,18544,12608,13547,8456,14836,3239,15703,28019,26127,23905,21401,22378,21016,19206,18375,12524,11878,17427,8725,5861,7581,8871,"Puteibacter caeruleilacunae"
"8",22433,23509,27184,29935,26653,21735,17056,18001,17901,12526,13550,8224,15070,3179,15948,26145,24809,22166,20290,20840,20301,18431,17545,12667,11781,17074,8581,5952,7701,8847,"Salmonella sp. zj-f60"
"9",20855,21922,25061,26488,24058,19466,14890,15191,15659,10301,11079,7045,12329,3191,12736,24122,22874,20963,17852,18532,17953,16203,15310,10267,9578,14315,7417,4765,6477,7069,"Robertmurraya kyonggiensis"
"10",13066,15458,11404,8154,7740,7906,7339,9958,6540,14191,10179,29709,10252,65133,10047,15913,13206,26587,10490,7779,9863,8237,7628,20265,15938,16085,37865,9329,15528,7474,"Corynebacterium parakroppenstedtii"
"11",19147,20217,23198,24955,22658,18278,14399,14910,14521,10377,11282,7327,12666,3517,13225,22727,21206,18965,17160,17425,16914,15425,14739,10271,9540,14235,7598,5058,6395,7165,"Enterobacter hormaechei"
"12",11624,13536,10128,7094,6671,6583,6318,8512,5868,12474,9294,26375,9276,60614,9131,14550,12039,24859,9231,6646,8659,7486,6719,19413,14048,13862,35730,8540,13965,6406,"Unclassified_g_Corynebacterium"
"13",16542,17575,20029,22485,20102,16424,12972,13244,13324,8984,9614,6145,10270,2144,10891,18858,18024,16083,15335,15634,14925,13825,12813,9598,8802,12562,6196,5170,13681,7315,"Lacticaseibacillus paracasei"
