genus	CK0d1	CK0d2	CK0d3	CK3d1	CK3d2	CK3d3	CK10d1	CK10d2	CK10d3	CK30d1	CK30d2	CK30d3	CK45d1	CK45d2	CK45d3	Lp0d1	Lp0d2	Lp0d3	Lp3d1	Lp3d2	Lp3d3	Lp10d1	Lp10d2	Lp10d3	Lp30d1	Lp30d2	Lp30d3	Lp45d1	Lp45d2	Lp45d3
g_Microglena	0.010471	0	0.005128	0	0	0.029851	0	0.005319	0.01005	0.002959	0.002915	0.01084	0.002066	0.04059	0.000894	0.001567	0.001515	0.001887	0.002484	0	0.001898	0	0	0.002203	0.001247	0.002451	0.004762	0.00289	9.9e-05	0.00304
g_Phyllosticta	0.052356	0.017647	0.051282	0	0	0.014925	0.014563	0.005319	0.005025	0.007396	0.004373	0.00813	0.008264	0.01107	0.015206	0.00627	0.001515	0.006289	0.01118	0.006724	0.005693	0.003096	0.004343	0	0.008728	0.009804	0.004762	0.00289	0.000496	0.006079
g_Fusarium	0.031414	0.052941	0.025641	0.032864	0.022346	0.044776	0.024272	0.031915	0.020101	0.019231	0.004373	0.00271	0.004132	0	0.008945	0.007837	0.010606	0.003774	0.006211	0.003842	0	0.008256	0.004343	0.008811	0.003741	0.001225	0.014286	0.00289	0.000198	0.00152
g_Tripsacum	0.08377	0.058824	0.071795	0.107981	0.094972	0.119403	0.053398	0.053191	0.085427	0.014793	0.01895	0.01897	0.007231	0.00738	0.007156	0.018809	0.025758	0.010692	0.019876	0.020173	0.026565	0.011352	0.016287	0.015419	0.011222	0.007353	0.002381	0.004335	0.000496	0.007599
g_Candida	0	0	0	0	0	0	0.004854	0	0	0	0.001458	0	0.001033	0	0.000894	0.045455	0.069697	0.005031	0.058385	0.035543	0.157495	0.039216	0.099891	0.066079	0.185786	0.147059	0.116667	0.114162	0.004862	0.066869
g_Aspergillus	0.094241	0.105882	0.112821	0.107981	0.089385	0.097015	0.067961	0.090426	0.070352	0.031065	0.027697	0.03252	0.02376	0.02214	0.022361	0.023511	0.033333	0.015094	0.028571	0.019212	0.01518	0.028896	0.018458	0.026432	0.01995	0.030637	0.045238	0.028902	0.002282	0.031915
g_Alternaria	0.141361	0.158824	0.2	0.065728	0.106145	0.089552	0.092233	0.058511	0.075377	0.016272	0.039359	0.02439	0.033058	0.01476	0.093023	0.087774	0.05303	0.759119	0.042236	0.011527	0.026565	0.019608	0.027144	0.044053	0.026185	0.019608	0.02381	0.027457	0.003274	0.022796
g_Zea	0.246073	0.364706	0.225641	0.28169	0.234637	0.246269	0.160194	0.25	0.18593	0.034024	0.030612	0.04336	0.021694	0.03321	0.029517	0.061129	0.059091	0.030189	0.049689	0.043228	0.066414	0.029928	0.02063	0.026432	0.021197	0.028186	0.019048	0.015896	0.001191	0.018237
g_Saccharomyces	0.010471	0.011765	0	0.00939	0	0	0.296117	0.175532	0.21608	0.775148	0.797376	0.704607	0.853306	0.726937	0.773703	0.087774	0.093939	0.016352	0.068323	0.035543	0.055028	0.135191	0.034745	0.118943	0.094763	0.22549	0.135714	0.118497	0.002778	0.12614
g_Pichia	0.157068	0.129412	0.169231	0.262911	0.368715	0.246269	0.23301	0.239362	0.276382	0.071006	0.049563	0.092141	0.032025	0.04059	0.025939	0.615987	0.609091	0.113836	0.680745	0.802113	0.616698	0.69969	0.752443	0.651982	0.588529	0.463235	0.57619	0.572254	0.962992	0.613982
