"Term","CK","Lpscw"
"Drug resistance: antineoplastic",0.0004926,0.0007172
"Drug resistance: antimicrobial",0.00098773333333333,0.00112286666666667
"Folding, sorting and degradation",0.00041106666666666,0.00263266666666667
"Signal transduction",0.0025526,0.00248246666666667
"Membrane transport",9.41333333333333e-05,0.00558646666666667
"Environmental adaptation",0.00419986666666667,0.00440553333333333
"Cellular community - prokaryotes",0.00577113333333333,0.00553033333333333
"Xenobiotics biodegradation and metabolism",0.00633093333333333,0.00872966666666667
"Endocrine system",0.0104189333333333,0.0101327333333333
"Transport and catabolism",0.0162026666666667,0.0132387333333333
"Nucleotide metabolism",0.0169698666666667,0.0190235333333333
"Glycan biosynthesis and metabolism",0.0408846,0.0465710666666667
"Energy metabolism",0.0558538666666667,0.0547566
"Metabolism of other amino acids",0.0807980666666667,0.0783076
"Metabolism of cofactors and vitamins",0.0760727333333333,0.0872471333333333
"Biosynthesis of other secondary metabolites",0.117306133333333,0.108918
"Metabolism of terpenoids and polyketides",0.127005133333333,0.111238
"Lipid metabolism",0.1303708,0.1139466
"Amino acid metabolism",0.145781933333333,0.154420466666667
"Carbohydrate metabolism",0.1606864,0.169803533333333
"Others",0.0008094666666667,0.00118900000000011
